url,entity_id,canonical_name,trust_score,lifecycle,package,remote_endpoint_count,current_runnable_entry,verdict,reasons,uniqueness_classes
/servers/supabase-mcp-server,supabase-mcp-server-supabase,@supabase/mcp-server-supabase,70,active,@supabase/mcp-server-supabase,0,yes,enrich,Exact entity exists with a runnable entry; retain URL and add dated install verification plus troubleshooting evidence,editorial; tool; computed
/servers/slack-mcp-server,slack-mcp-server,slack-mcp-server,54,active,,0,no,noindex,Setup/config promise currently has no package or remote endpoint; keep out of the index until the exact entity is runnable or retarget the page,editorial; computed (install tool cannot be counted while commands are placeholders)
/servers/notion-mcp-server,notionhq-notion-mcp-server,@notionhq/notion-mcp-server,63,active,@notionhq/notion-mcp-server,0,yes,enrich,Exact entity exists with a runnable entry; retain URL and add dated install verification plus troubleshooting evidence,editorial; tool; computed
/servers/sequential-thinking-mcp-server,modelcontextprotocol-server-sequential-thinking,@modelcontextprotocol/server-sequential-thinking,71,active,@modelcontextprotocol/server-sequential-thinking,0,yes,enrich,Exact entity exists with a runnable entry; retain URL and add dated install verification plus troubleshooting evidence,editorial; tool; computed
/servers/gitlab-mcp-server,gitlab-mcp,gitlab-mcp,71,active,,0,no,noindex,Setup/config promise currently has no package or remote endpoint; keep out of the index until the exact entity is runnable or retarget the page,editorial; computed (install tool cannot be counted while commands are placeholders)
/servers/shadcn-mcp-server,shadcn-ui-mcp-server,shadcn-ui-mcp-server,55,active,,0,no,noindex,Setup/config promise currently has no package or remote endpoint; keep out of the index until the exact entity is runnable or retarget the page,editorial; computed (install tool cannot be counted while commands are placeholders)
/servers/unity-mcp-server,unity-mcp,unity-mcp,66,active,,0,no,noindex,Setup/config promise currently has no package or remote endpoint; keep out of the index until the exact entity is runnable or retarget the page,editorial; computed (install tool cannot be counted while commands are placeholders)
/servers/snowflake-mcp-server,snowflake-mcp,snowflake-mcp,45,active,,0,no,noindex,Setup/config promise currently has no package or remote endpoint; keep out of the index until the exact entity is runnable or retarget the page,editorial; computed (install tool cannot be counted while commands are placeholders)
/servers/cloudflare-mcp-server,cloudflare-mcp-server-cloudflare,@cloudflare/mcp-server-cloudflare,58,active,,0,no,noindex,Setup/config promise currently has no package or remote endpoint; keep out of the index until the exact entity is runnable or retarget the page,editorial; computed (install tool cannot be counted while commands are placeholders)
/servers/vercel-mcp-server,vercel-mcp,vercel-mcp,43,active,,0,no,noindex,Setup/config promise currently has no package or remote endpoint; keep out of the index until the exact entity is runnable or retarget the page,editorial; computed (install tool cannot be counted while commands are placeholders)
/servers/brave-search-mcp-server,brave-brave-search-mcp-server,@brave/brave-search-mcp-server,66,active,@brave/brave-search-mcp-server,0,yes,enrich,Exact entity exists with a runnable entry; retain URL and add dated install verification plus troubleshooting evidence,editorial; tool; computed
/servers/grafana-mcp-server,mcp-grafana,mcp-grafana,64,active,,0,no,noindex,Setup/config promise currently has no package or remote endpoint; keep out of the index until the exact entity is runnable or retarget the page,editorial; computed (install tool cannot be counted while commands are placeholders)
/servers/stripe-mcp-server,stripe-mcp,@stripe/mcp,66,active,@stripe/mcp,0,yes,enrich,Exact entity exists with a runnable entry; retain URL and add dated install verification plus troubleshooting evidence,editorial; tool; computed
/servers/dbt-mcp-server,dbt-mcp,dbt-mcp,63,active,,0,no,noindex,Setup/config promise currently has no package or remote endpoint; keep out of the index until the exact entity is runnable or retarget the page,editorial; computed (install tool cannot be counted while commands are placeholders)
/servers/wordpress-mcp-server,mcp-wordpress-remote,mcp-wordpress-remote,56,active,,0,no,noindex,Setup/config promise currently has no package or remote endpoint; keep out of the index until the exact entity is runnable or retarget the page,editorial; computed (install tool cannot be counted while commands are placeholders)
/servers/mysql-mcp-server,mcp-server-mysql,mcp-server-mysql,60,active,,0,no,noindex,Setup/config promise currently has no package or remote endpoint; keep out of the index until the exact entity is runnable or retarget the page,editorial; computed (install tool cannot be counted while commands are placeholders)
/servers/hubspot-mcp-server,mcp-hubspot,mcp-hubspot,36,active,,0,no,noindex,Setup/config promise currently has no package or remote endpoint; keep out of the index until the exact entity is runnable or retarget the page,editorial; computed (install tool cannot be counted while commands are placeholders)
/servers/mongodb-mcp-server,mongodb-mcp-server,mongodb-mcp-server,72,active,mongodb-mcp-server,0,yes,enrich,Exact entity exists with a runnable entry; retain URL and add dated install verification plus troubleshooting evidence,editorial; tool; computed
/servers/linkedin-mcp-server,linkedin-mcp-server,linkedin-mcp-server,61,active,,0,no,noindex,Setup/config promise currently has no package or remote endpoint; keep out of the index until the exact entity is runnable or retarget the page,editorial; computed (install tool cannot be counted while commands are placeholders)
/servers/servicenow-mcp-server,servicenow-mcp,servicenow-mcp,38,active,,0,no,noindex,Setup/config promise currently has no package or remote endpoint; keep out of the index until the exact entity is runnable or retarget the page,editorial; computed (install tool cannot be counted while commands are placeholders)
/servers/google-analytics-mcp-server,google-analytics-mcp,google-analytics-mcp,57,active,,0,no,noindex,Setup/config promise currently has no package or remote endpoint; keep out of the index until the exact entity is runnable or retarget the page,editorial; computed (install tool cannot be counted while commands are placeholders)
