cohort,item_id,proposed_url,seed_or_entity,measured_volume,priority,indexing_at_start,status,release_gate,primary_success_metric,notes
zero-volume-adoption,ZA02,/skills/vercel-labs/skills/,vercel-labs/skills,0,P1,noindex,supply-validation,"Confirm package scope and two evidence classes","Qualified external click rate","Current CLI repository."
zero-volume-adoption,ZA03,/skills/composiohq/awesome-claude-skills/,ComposioHQ awesome-claude-skills,0,P2,noindex,merge-candidate,"Show standalone intent beyond curated list","Qualified external click rate","Likely enrich /skills/awesome-claude-skills/."
zero-volume-adoption,ZA04,/skills/travisvn/awesome-claude-skills/,travisvn awesome-claude-skills,0,P2,noindex,merge-candidate,"Show standalone intent beyond curated list","Qualified external click rate","Likely enrich curated list."
zero-volume-adoption,ZA05,/skills/addyosmani/agent-skills/,addyosmani/agent-skills,0,P1,noindex,supply-validation,"Confirm install plus task test","Task completion rate","SERP authority signal."
zero-volume-adoption,ZA06,/skills/k-dense-ai/scientific-skills/,K-Dense Scientific Skills,0,P1,noindex,supply-validation,"Confirm supply and two evidence classes","Qualified external click rate","Potential research category seed."
zero-volume-adoption,ZA07,/skills/trailofbits/security-skills/,Trail of Bits Security Skills,0,P1,noindex,supply-validation,"Confirm exact source and security scope","Qualified external click rate","High-authority supply hypothesis."
zero-volume-adoption,ZA08,/skills/getsentry/sentry-for-ai/,Sentry for AI,0,P1,noindex,supply-validation,"Confirm exact skill and compatibility","Install-copy rate","Observed sitemap owner cluster."
zero-volume-adoption,ZA09,/skills/aws/agent-toolkit-for-aws/,Agent Toolkit for AWS,0,P1,noindex,supply-validation,"Confirm exact skill and permissions","Install-copy rate","Observed sitemap owner cluster."
zero-volume-adoption,ZA10,/skills/googleworkspace/gws-gmail/,Google Workspace Gmail Skill,0,P1,noindex,supply-validation,"Confirm auth scope and client support","Qualified external click rate","Permission-sensitive."
zero-volume-adoption,ZA11,/skills/googleworkspace/gws-drive/,Google Workspace Drive Skill,0,P1,noindex,supply-validation,"Confirm auth scope and client support","Qualified external click rate","Permission-sensitive."
zero-volume-adoption,ZA12,/skills/adobe/aio-commerce-sdk/,Adobe Commerce SDK Skill,0,P2,noindex,supply-validation,"Confirm exact task and two evidence classes","Qualified external click rate","Observed sitemap owner cluster."
zero-volume-adoption,ZA13,/skills/flutter/flutter/,Flutter Skill,0,P1,noindex,supply-validation,"Confirm exact source and task test","Task completion rate","Observed sitemap owner cluster."
zero-volume-adoption,ZA14,/skills/getsentry/sentry-agent-skills/,Sentry Agent Skills,0,P1,noindex,supply-validation,"Confirm package scope and two evidence classes","Qualified external click rate","May merge with ZA08."
zero-volume-adoption,ZA15,/skills/microsoft/playwright/,Microsoft Playwright Skill,0,P1,noindex,supply-validation,"Differentiate from playwright-cli and pass gate","Task completion rate","Potential duplicate."
zero-volume-adoption,ZA16,/skills/google/agents-cli/,Google Agents CLI Skill,0,P2,noindex,supply-validation,"Confirm client compatibility and two evidence classes","Install-copy rate","Observed sitemap owner cluster."
zero-volume-adoption,ZA17,/skills/openai/codex/,OpenAI Codex Skill,0,P1,noindex,merge-candidate,"Show standalone intent beyond Codex hub","Non-brand impressions per indexed page","Likely enrich /skills/codex/."
zero-volume-adoption,ZA18,/skills/firecrawl/firecrawl-workflows/,Firecrawl Workflows Skill,0,P1,noindex,supply-validation,"Confirm install, auth, and task test","Task completion rate","Observed sitemap owner cluster."
zero-volume-adoption,ZA19,/skills/expo/building-native-ui/,Expo Native UI Skill,0,P1,noindex,supply-validation,"Confirm source and task test","Task completion rate","Observed sitemap owner cluster."
zero-volume-adoption,ZA20,/skills/elastic/elasticsearch-esql/,Elasticsearch ES|QL Skill,0,P2,noindex,supply-validation,"Confirm source and task test","Task completion rate","Observed sitemap owner cluster."
client-integration,CI01,/guides/frontend-design-skill-claude-code/,Frontend Design × Claude Code,480,P0,noindex,test-queue,"Distinct SERP plus install and task verification","Install-copy rate","Merge into detail page if SERP overlaps."
client-integration,CI02,/guides/frontend-design-skill-codex/,Frontend Design × Codex,0,P1,noindex,test-queue,"Distinct SERP plus install and task verification","Install-copy rate","Zero-volume client compatibility test."
client-integration,CI03,/guides/playwright-skill-claude-code/,Playwright × Claude Code,90,P0,noindex,test-queue,"Distinct SERP plus install and task verification","Task completion rate","Merge if overlapping."
client-integration,CI04,/guides/playwright-skill-codex/,Playwright × Codex,0,P1,noindex,test-queue,"Distinct SERP plus install and task verification","Task completion rate","Zero-volume client compatibility test."
client-integration,CI05,/guides/playwright-skill-cursor/,Playwright × Cursor,0,P1,noindex,test-queue,"Distinct SERP plus install and task verification","Task completion rate","Zero-volume client compatibility test."
client-integration,CI06,/guides/superpowers-claude-code/,Superpowers × Claude Code,90,P0,noindex,test-queue,"Distinct SERP plus install and task verification","Task completion rate","Merge if overlapping."
client-integration,CI07,/guides/superpowers-codex/,Superpowers × Codex,0,P1,noindex,test-queue,"Distinct SERP plus install and task verification","Task completion rate","Zero-volume client compatibility test."
client-integration,CI08,/guides/notion-skill-claude-code/,Notion × Claude Code,70,P1,noindex,test-queue,"Distinct SERP plus auth and task verification","Qualified external click rate","Permission-sensitive."
client-integration,CI09,/guides/openai-skills-codex/,OpenAI Skills × Codex,110,P0,noindex,test-queue,"Distinct SERP plus official install verification","Install-copy rate","Prefer official sources."
client-integration,CI10,/guides/agent-skills-vscode/,Agent Skills × VS Code,0,P1,noindex,test-queue,"Distinct SERP plus official setup verification","Install-copy rate","Official VS Code docs rank for install intent."
real-error-guide,ER01,/guides/fix-npx-skills-command-not-found/,npx skills command not found,0,P1,noindex,reproduction-needed,"Reproduce with captured environment and fix","Successful fix interaction","Do not publish a guessed error guide."
real-error-guide,ER02,/guides/fix-agent-skill-not-found/,agent skill not found,0,P1,noindex,reproduction-needed,"Reproduce in at least one client","Successful fix interaction","Client-specific branches required."
real-error-guide,ER03,/guides/fix-skill-md-not-detected/,SKILL.md not detected,0,P1,noindex,reproduction-needed,"Reproduce in at least two clients","Successful fix interaction","Likely path or metadata issue."
real-error-guide,ER04,/guides/fix-invalid-skill-md-frontmatter/,invalid SKILL.md frontmatter,0,P1,noindex,reproduction-needed,"Create failing fixture and validate fix","Validator completion","Can live inside validator docs if intent is weak."
real-error-guide,ER05,/guides/fix-agent-skill-permission-denied/,agent skill permission denied,0,P1,noindex,reproduction-needed,"Reproduce with safe fixture","Successful fix interaction","Avoid broad chmod advice."
real-error-guide,ER06,/guides/fix-agent-skill-symlink-conflict/,agent skill symlink conflict,0,P2,noindex,reproduction-needed,"Reproduce with CLI and capture output","Successful fix interaction","Merge if no distinct demand."
real-error-guide,ER07,/guides/fix-duplicate-agent-skill-name/,duplicate agent skill name,0,P2,noindex,reproduction-needed,"Reproduce in client index","Successful fix interaction","Document precedence behavior."
real-error-guide,ER08,/guides/fix-agent-skill-wrong-install-path/,agent skill wrong install path,0,P1,noindex,reproduction-needed,"Verify client path matrix","Successful fix interaction","Likely belongs in install guide."
real-error-guide,ER09,/guides/fix-agent-skill-remote-script-blocked/,agent skill remote script blocked,0,P1,noindex,reproduction-needed,"Reproduce safely without executing untrusted code","Successful fix interaction","Security-sensitive."
real-error-guide,ER10,/guides/fix-agent-skill-not-triggering/,agent skill not triggering,0,P1,noindex,reproduction-needed,"Reproduce implicit and explicit trigger cases","Successful fix interaction","Document description-matching limits."
category-hub,HU01,/skills/,Agent Skills Directory,8790,P0,index,planned,"Editorial intro plus verified filters","Directory filter usage","Commercial core."
category-hub,HU02,/skills/claude-code/,Claude Code Skills,49540,P1,index,planned,"Client matrix and tested shortlist","Qualified detail-page click rate","High competition."
category-hub,HU03,/skills/codex/,Codex Skills,1870,P0,index,planned,"Official install matrix and tested shortlist","Qualified detail-page click rate","AI Overview query."
category-hub,HU04,/skills/categories/browser-automation/,Browser Automation Skills,470,P0,index,planned,"At least five verified candidates","Qualified detail-page click rate","Common task fixture."
category-hub,HU05,/skills/categories/code-quality/,Code Quality Skills,320,P0,index,planned,"At least five verified candidates","Qualified detail-page click rate","Seeded bug fixture."
tool,TO01,/tools/skill-md-validator/,SKILL.md Validator,0,P0,index,planned,"Working validator with safe local parsing","Completed validations","Zero-volume adoption bet."
