page_id,target_url,page_type,primary_keyword,supporting_keywords,gross_volume,avg_kd,intent,priority,wave,indexing,unique_value,status,notes
humanizer,/skills/softaworks/humanizer/,detail,humanizer skill,"humanizer skill for claude; claude humanizer skill",460,21,commercial,P0,0,conditional,"Style-preservation test on disclosed AI-written sample.",verification-needed,"Avoid claims about detector evasion."
playwright-cli,/skills/microsoft/playwright-cli/,detail,playwright-cli skill,"claude playwright skill; playwright scraper skill; playwright skill claude",550,12,commercial,P0,0,conditional,"Reproducible browser task and permissions review.",verification-needed,"Noindex until gate passes."
superpowers,/skills/obra/superpowers/,detail,superpowers claude skills,"superpowers skill; obra superpowers",90,0,commercial,P0,0,conditional,"Install verification plus coding workflow task test.",verification-needed,"Supply-first Wave 0."
remotion,/skills/remotion-dev/remotion/,detail,remotion agent skills,"remotion claude skill; remotion skills claude",470,19,commercial,P0,0,conditional,"Render a fixed short-video fixture and inspect output.",verification-needed,"Noindex until gate passes."
notion,/skills/notion/,detail,notion skills,"notion skill; notion skills for claude",230,21,commercial,P0,0,conditional,"Client compatibility and permission-scope review.",verification-needed,"Owner must be resolved before canonical URL is final."
notebooklm,/skills/notebooklm/,detail,notebooklm skill,"notebooklm skill claude; notebooklm-skill",440,39,commercial,P1,1,conditional,"Source-grounding task test and repo provenance.",verification-needed,"Owner must be resolved."
design-skills,/skills/categories/design/,category-hub,figma skill,"excalidraw skill; frontend design skill; ui ux pro max skill",400,35,commercial,P1,1,index,"Compare artifact type, client support, and test output.",planned,"Do not duplicate detail-page text."
data-skills,/skills/categories/data/,category-hub,dbt agent skills,"database skills; data analysis skills; research skills",310,20,commercial,P1,1,index,"Task-specific filters plus reproducible data fixture.",planned,"Exclude employment-skill ambiguity."
automation-skills,/skills/categories/automation/,category-hub,n8n skills,"automation agent skills; workflow skills; browser automation skills",220,22,commercial,P1,1,index,"Workflow target and integration compatibility matrix.",planned,"Supply-first expansion."
skills-vs-mcp,/compare/agent-skills-vs-mcp/,comparison,mcp skills,"mcp skill; skill mcp; mcp builder skill",400,21,informational,P1,1,index,"Decision table grounded in this site's MCP corpus.",planned,"High topical fit despite modest volume."
skills-vs-agents,/compare/claude-code-skills-vs-agents/,comparison,claude code skills vs agents,"skills vs agents; subagents vs skills; when to use skills",90,19,informational,P1,1,index,"Task-routing decision tree with examples.",planned,"Recheck SERP before production."
security-checker,/tools/agent-skill-security-checker/,tool,skill scanner,"agent skill security; is this agent skill safe; malicious SKILL.md",530,34,commercial,P1,1,index,"Static checks for remote scripts, encoded commands, secrets, and prompt injection.",planned,"Needs prominent limitations and no guarantee of safety."
opencode-skills,/skills/opencode/,client-hub,opencode agent skills,"opencode skills; install skills in opencode; opencode SKILL.md",50,24,mixed,P2,2,index,"Client-specific path and compatibility tests.",backlog,"Publish only after supply and SERP revalidation."
game-dev-skills,/skills/categories/game-development/,category-hub,godot skills,"game development agent skills; unity skills; game design skills",170,19,commercial,P2,2,index,"Engine and task filters plus fixed small-scene test.",backlog,"Keep separate from video-game skill-tree queries."

