module,action,target_url,page_title,primary_keyword,primary_volume_us,primary_kd,cluster_volume_us,keyword_count,supporting_keywords,evidence,page_type,source
content,create_ready,/compare/mcp-resources-vs-tools,resources vs tools,mcp resources vs tools,590,24,900,9,mcp resources vs tools (590); mcp resource vs tool (70); mcp tool vs resource (70); mcp server resources vs tools (40); resources vs tools mcp (40); mcp resources vs tools vs prompts (30); mcp tool vs resource vs prompt (20); mcp tools vs resources (20); mcp tools vs resources vs prompts (20),skill-classified core demand,comparison,full-skill-run keywords.csv + semantic one-intent clustering
content,create_ready,/compare/mcp-vs-function-calling,function calling,mcp vs function calling,110,10,400,7,mcp vs function calling (110); mcp vs tool calling (110); llm tool calling vs mcp (50); anthropic tool use vs mcp (40); anthropic claude tool use vs mcp (30); tool call vs mcp (30); tool calling vs mcp (30),skill-classified core demand,comparison,full-skill-run keywords.csv + semantic one-intent clustering
content,create_ready,/compare/mcp-vs-ai-agents,agents,mcp vs agents,140,19,500,8,mcp vs agents (140); mcp vs agentic ai (90); mcp vs agent (70); agent vs mcp (70); agentic ai vs mcp server (40); mcp vs agent tools (30); ai agent vs mcp (30); ai agents vs mcp (30),skill-classified core demand,comparison,full-skill-run keywords.csv + semantic one-intent clustering
content,create_ready,/compare/langchain-vs-mcp,langchain,langchain vs mcp,170,16,310,4,langchain vs mcp (170); mcp vs langchain (90); mcp vs langchain tools (30); langchain tools vs mcp (20),skill-classified core demand,comparison,full-skill-run keywords.csv + semantic one-intent clustering
content,create_ready,/compare/api-vs-mcp,api,api vs mcp,140,27,180,2,api vs mcp (140); mcp ai vs api (40),skill-classified core demand,comparison,full-skill-run keywords.csv + semantic one-intent clustering
content,create_ready,/compare/mcp-client-vs-server,client server,mcp client vs server,110,36,300,7,mcp client vs server (110); mcp server vs client (90); mcp client vs host (20); mcp client vs mcp server (20); mcp host vs client (20); mcp host vs client vs server (20); mcp server vs mcp client (20),skill-classified core demand,comparison,full-skill-run keywords.csv + semantic one-intent clustering
content,create_ready,/compare/mcp-sse-vs-streamable-http,sse http,mcp sse vs streamable http,110,20,110,1,mcp sse vs streamable http (110),skill-classified core demand,comparison,full-skill-run keywords.csv + semantic one-intent clustering
content,create_ready,/compare/acp-vs-mcp,acp,acp vs mcp,170,29,170,1,acp vs mcp (170),skill-classified core demand,comparison,full-skill-run keywords.csv + semantic one-intent clustering
content,create_ready,/compare/mcp-vs-dcp,dcp,mcp vs dcp,40,0,40,1,mcp vs dcp (40),skill-classified core demand,comparison,full-skill-run keywords.csv + semantic one-intent clustering
content,create_ready,/compare/graphql-vs-mcp,graphql,graphql vs mcp,40,21,40,1,graphql vs mcp (40),skill-classified core demand,comparison,full-skill-run keywords.csv + semantic one-intent clustering
content,create_ready,/compare/http-vs-mcp,http,http vs mcp,70,25,70,1,http vs mcp (70),skill-classified core demand,comparison,full-skill-run keywords.csv + semantic one-intent clustering
content,create_ready,/compare/openai-agents-sdk-vs-mcp,openai agents,openai agents sdk vs mcp,50,13,50,1,openai agents sdk vs mcp (50),skill-classified core demand,comparison,full-skill-run keywords.csv + semantic one-intent clustering
content,create_ready,/compare/playwright-vs-puppeteer-mcp,playwright puppeteer,playwright vs puppeteer mcp,40,15,40,1,playwright vs puppeteer mcp (40),skill-classified core demand,comparison,full-skill-run keywords.csv + semantic one-intent clustering
content,create_ready,/guides/install-remotion-mcp-server,remotion install,remotion mcp server github npm install claude,1600,39,1600,1,remotion mcp server github npm install claude (1600),skill-classified core demand,entity integration,full-skill-run keywords.csv + semantic one-intent clustering
content,create_ready,/guides/google-sheets-mcp-server-for-manus,google sheets manus,google sheets mcp server for manus ai,880,0,880,1,google sheets mcp server for manus ai (880),skill-classified core demand,entity integration,full-skill-run keywords.csv + semantic one-intent clustering
content,create_ready,/guides/mcp-gateway-security,gateway security,mcp gateways with built-in security and compliance,70,0,100,2,mcp gateways with built-in security and compliance (70); mcp gateway security tools comparison (30),skill-classified core demand,security guide,full-skill-run keywords.csv + semantic one-intent clustering
content,enrich_existing,/what-is-mcp-server,head pillar,mcp,74000,71,134260,9,mcp (74000); mcp server (40500); mcp servers (14800); mcp server meaning (3600); mcp server definition (590); mcp-server (590); mcp servers meaning (90); mcp servers definition (50); mcp meaning server (40),skill-classified core demand,pillar,full-skill-run keywords.csv + semantic one-intent clustering
content,enrich_existing,/,directory,awesome mcp servers,1600,25,4710,12,awesome mcp servers (1600); mcp server list (880); mcp servers list (590); awesome mcp servers list (390); anthropic mcp directory (390); mcp directory (320); mcp server directory (170); github awesome mcp servers (110); awesome mcp servers github (110); punkpeye awesome mcp servers (50); mcp directory anthropic (50); awesome mcp servers github] (50),skill-classified core demand,directory hub,full-skill-run keywords.csv + semantic one-intent clustering
content,enrich_existing,/guides/claude-code-mcp-config,claude code existing,claude mcp list command,1900,29,8900,43,claude mcp list command (1900); claude code mcp configuration (1300); claude code mcp server configuration (880); claude code mcp server setup (390); claude mcp add (390); claude mcp add-json (390); claude code mcp config (320); add mcp to claude code (320); claude code mcp config file (260); how to add mcp to claude code (210); add playwright mcp to claude code (210); how to add supabase mcp to claude code (170); how to add mcp server to claude code (170); claude mcp list (170); add mcp server to claude code (170); claude mcp add json (110); adding mcp servers to claude code (90); claude code mcp add command (90); claude code mcp add (90); claude code mcp server config (90); claude code --mcp-config (90); how to add mcp servers to claude code (70); claude mcp add syntax (70); install playwright mcp claude code (70); add atlassian mcp to claude code (70); add github mcp to claude code (70); claude code mcp servers list (50); add mcp servers to claude code (50); claude code cli mcp configuration (50); claude mcp add-json example (50); claude code mcp configuration file (50); add context7 mcp to claude code (50); add jira mcp to claude code (50); how to add github mcp to claude code (50); claude mcp add json example (40); claude mcp add global (40); claude mcp add linear (40); add linear mcp to claude code (40); how to add an mcp server to claude code (40); claude mcp add playwright (40); install context7 mcp claude code (40); add github mcp server to claude code (40); add mcp tools to claude code (20),skill-classified core demand,client setup,full-skill-run keywords.csv + semantic one-intent clustering
content,enrich_existing,/guides/mcp-proxy-vs-gateway,proxy gateway existing,mcp proxy server vs mcp gateway,720,19,720,1,mcp proxy server vs mcp gateway (720),skill-classified core demand,comparison,full-skill-run keywords.csv + semantic one-intent clustering
content,enrich_existing,/guides/mcp-security-red-lines,security existing,mcp security architecture,480,28,1330,12,mcp security architecture (480); chrome-devtools-mcp security vulnerabilities cve (260); mcp security best practices (210); framelink mcp security flaw remote code execution (90); mcp vulnerability news (70); figma mcp server vulnerability remote code execution (50); mcp tool poisoning (40); figma mcp server vulnerability remote code execution patched (40); mcp security notification tool poisoning attacks (30); mcp tool poisoning attack (20); mcp tool poisoning attacks (20); figma mcp server remote code execution vulnerability patched (20),skill-classified core demand,security guide,full-skill-run keywords.csv + semantic one-intent clustering
content,enrich_existing,/guides/self-host-vs-remote,remote existing,local vs remote mcp server,20,0,40,2,local vs remote mcp server (20); mcp server local vs remote (20),skill-classified core demand,comparison,full-skill-run keywords.csv + semantic one-intent clustering
