rank,module,target_url,page_type,primary_keyword,primary_volume_us,primary_kd,cluster_volume_us,keyword_count,current_entity_slug,evidence,supporting_keywords
44,content,/guides/best-mcp-servers-for-ai-tools,best-of,best mcp servers ai tools,260,0,260,1,,skill-classified core demand,best mcp servers ai tools (260)
45,entity,/servers/mermaid-mcp-server,entity landing,mermaid mcp,260,26,260,1,ai-smithery-hustcc-mcp-mermaid,measured demand + unique current identity + active runnable entity + trust>=50,
46,content,/guides/add-mcp-server-to-cursor,client setup,add mcp server to cursor,170,25,250,3,,skill-classified core demand,add mcp server to cursor (170); cursor configure mcp (40); how to add mcp to cursor (40)
47,content,/guides/add-mcp-server-to-chatgpt,client setup,add mcp to chatgpt,70,35,250,5,,skill-classified core demand,add mcp to chatgpt (70); how to add mcp server to chatgpt (50); chatgpt connect to mcp (50); chatgpt connect to mcp server (40); how to use mcp with chatgpt (40)
48,content,/guides/mcp-tools-explained,explainer,mcp tool example,40,0,240,8,,skill-classified core demand,mcp tool example (40); mcp tools example (40); mcp tools meaning (40); mcp tool definition (30); mcp tool meaning (30); mcp server tool definition (20); mcp tool examples (20); mcp tools examples (20)
49,entity,/servers/elasticsearch-mcp-server,entity landing,elasticsearch mcp,140,42,230,2,elastic-mcp-server-elasticsearch,measured demand + unique current identity + active runnable entity + trust>=50,
50,content,/guides/best-mcp-servers-for-seo,best-of,best mcp server for seo,210,11,210,1,,skill-classified core demand,best mcp server for seo (210)
51,entity,/servers/dataforseo-mcp-server,entity landing,dataforseo mcp,210,26,210,1,dataforseo-mcp-server,measured demand + unique current identity + active runnable entity + trust>=50,
52,entity,/servers/heroku-mcp-server,entity landing,heroku mcp server,110,37,200,2,heroku-mcp-server,measured demand + unique current identity + active runnable entity + trust>=50,
53,content,/guides/best-mcp-servers-for-developers,best-of,best mcp servers for developers,50,23,180,4,,skill-classified core demand,best mcp servers for developers (50); best mcp servers for coding (50); best mcp servers for vibe coding (40); useful mcp servers for developers (40)
54,content,/compare/api-vs-mcp,comparison,api vs mcp,140,27,180,2,,skill-classified core demand,api vs mcp (140); mcp ai vs api (40)
55,entity,/servers/resend-mcp-server,entity landing,resend mcp,170,23,170,1,resend-mcp,measured demand + unique current identity + active runnable entity + trust>=50,
56,content,/compare/acp-vs-mcp,comparison,acp vs mcp,170,29,170,1,,skill-classified core demand,acp vs mcp (170)
57,entity,/servers/pinecone-mcp-server,entity landing,pinecone mcp,110,39,160,2,pinecone-database-mcp,measured demand + unique current identity + active runnable entity + trust>=50,
58,entity,/servers/attio-mcp-server,entity landing,attio mcp,110,22,150,2,ai-smithery-kesslerio-attio-mcp-server,measured demand + unique current identity + active runnable entity + trust>=50,
59,entity,/servers/npm-mcp-server,entity landing,npm mcp,90,29,150,4,ai-smithery-nekzus-npm-sentinel-mcp,measured demand + unique current identity + active runnable entity + trust>=50,
60,content,/guides/add-mcp-server-to-gemini-cli,client setup,gemini cli add mcp,90,21,140,2,,skill-classified core demand,gemini cli add mcp (90); gemini connect to mcp server (50)
61,content,/guides/test-mcp-server-with-inspector,testing,how to use mcp inspector,90,31,120,2,,skill-classified core demand,how to use mcp inspector (90); how to test an mcp server (30)
62,content,/compare/mcp-sse-vs-streamable-http,comparison,mcp sse vs streamable http,110,20,110,1,,skill-classified core demand,mcp sse vs streamable http (110)
63,content,/guides/mcp-gateway-security,security guide,mcp gateways with built-in security and compliance,70,0,100,2,,skill-classified core demand,mcp gateways with built-in security and compliance (70); mcp gateway security tools comparison (30)
64,content,/guides/mcp-alternatives,alternatives,mcp alternatives,90,36,90,1,,skill-classified core demand,mcp alternatives (90)
65,entity,/servers/unifi-mcp-server,entity landing,unifi mcp,70,12,70,1,ai-dinglebear-unifi-rmcp,measured demand + unique current identity + active runnable entity + trust>=50,
66,content,/guides/best-ui-mcp-servers,best-of,best ui mcp,70,17,70,1,,skill-classified core demand,best ui mcp (70)
67,entity,/servers/strava-mcp-server,entity landing,strava mcp,70,19,70,1,ai-com-mcp-strava,measured demand + unique current identity + active runnable entity + trust>=50,
68,entity,/servers/tailscale-mcp-server,entity landing,tailscale mcp,70,21,70,1,ai-dinglebear-tailscale-rmcp,measured demand + unique current identity + active runnable entity + trust>=50,
69,content,/compare/http-vs-mcp,comparison,http vs mcp,70,25,70,1,,skill-classified core demand,http vs mcp (70)
70,entity,/servers/akshare-mcp-server,entity landing,akshare mcp,50,6,50,1,ai-smithery-zwldarren-akshare-one-mcp,measured demand + unique current identity + active runnable entity + trust>=50,
71,content,/compare/openai-agents-sdk-vs-mcp,comparison,openai agents sdk vs mcp,50,13,50,1,,skill-classified core demand,openai agents sdk vs mcp (50)
72,entity,/servers/thoughtspot-mcp-server,entity landing,thoughtspot mcp,50,25,50,1,app-thoughtspot-mcp-server,measured demand + unique current identity + active runnable entity + trust>=50,
73,content,/guides/add-mcp-server-to-codex,client setup,codex install mcp,50,26,50,1,,skill-classified core demand,codex install mcp (50)
74,content,/guides/best-search-mcp-servers,best-of,best search mcp,50,30,50,1,,skill-classified core demand,best search mcp (50)
